"developer_comments","target","source","ID"
"angelic-pretty","Angelic Pretty","Angelic Pretty",""
"baby-the-stars-shine-bright","Baby, the Stars Shine Bright","Baby, the Stars Shine Bright",""
"innocent-world","Innocent World","Innocent World",""
"alice-and-the-pirates","Alice and the Pirates","Alice and the Pirates",""
"metamorphose-temps-de-fille","Metamorphose Temps de Fille","Metamorphose Temps de Fille",""
"jane-marple","Jane Marple","Jane Marple",""
"victorian-maiden","Victorian Maiden","Victorian Maiden",""
"atelier-boz","Atelier Boz","Atelier Boz",""
"excentrique","Excentrique","Excentrique",""
"bodyline","Bodyline","Bodyline",""
"moi-meme-moitie","Moi-même-Moitié","Moi-même-Moitié",""
"juliette-et-justine","Juliette et Justine","Juliette et Justine",""
"mary-magdalene","Mary Magdalene","Mary Magdalene",""
"putumayo","Putumayo","Putumayo",""
"antique-beast","Antique Beast","Antique Beast",""
"atelier-pierrot","Atelier Pierrot","Atelier Pierrot",""
"black-peace-now","Black Peace Now","Black Peace Now",""
"beth","Beth","Beth",""
"emily-shirley-temple-cute","Emily Temple Cute","Emily Temple Cute",""
"indie-brand","Indie Brand","Indie Brand",""
"chinese-indie","Chinees Indie Brand","Chinese Indie Brand",""
"h-naoto","h.NAOTO","h.NAOTO",""
"maxicimam","MAXICIMAM","MAXICIMAM",""
"cornet","Cornet","Cornet",""
"grimoire","Grimoire","Grimoire",""
"heart-e","Heart E","Heart E",""
"6dokidoki","6%DOKIDOKI","6%DOKIDOKI",""
"physical-drop","Physical Drop","Physical Drop",""
"millefleurs","Millefleurs","Millefleurs",""
"pink-house","Pink House","Pink House",""
"vivienne-westwood","Vivienne Westwood","Vivienne Westwood",""
"haenuli","Haenuli","Haenuli",""
"surface-spell","SurfaceSpell","SurfaceSpell",""
"chantilly","Enchantlic Enchantilly","Enchantlic Enchantilly",""
"sheglit","Sheglit","Sheglit",""
"milk","MILK","MILK",""
"lief","Lief","Lief",""
"chess-story","Chess Story","Chess Story",""
"krad-lanrete","Krad Lanrete","Krad Lanrete",""
"offbrand","Merkloos","Offbrand",""
"infanta","Infanta","Infanta",""
"triple-fortune","Triple Fortune","Triple Fortune",""
"baby-secret-love","Baby Secret Love","Baby Secret Love",""
"mr","MR","MR",""
"shirley-temple","Shirley Temple","Shirley Temple",""
"miho-matsuda","Miho Matsuda","Miho Matsuda",""
"leur-getter","Leur Getter","Leur Getter",""
"q-pot","Q-pot","Q-pot",""
"peppermint-fox","Peppermint Fox","Peppermint Fox",""
"soufflesong","Soufflesong","Soufflesong",""
"axes-femme","Axes Femme","Axes Femme",""
"marble","Marble","Marble",""
"the-black-ribbon","The Black Ribbon","The Black Ribbon",""
"wonderful-world","Wonderful World","Wonderful World",""
