"developer_comments","target","source","ID"
"angelic-pretty","","Angelic Pretty",""
"baby-the-stars-shine-bright","","Baby, the Stars Shine Bright",""
"innocent-world","","Innocent World",""
"alice-and-the-pirates","","Alice and the Pirates",""
"metamorphose-temps-de-fille","","Metamorphose Temps de Fille",""
"jane-marple","","Jane Marple",""
"victorian-maiden","","Victorian Maiden",""
"atelier-boz","","Atelier Boz",""
"excentrique","","Excentrique",""
"bodyline","","Bodyline",""
"moi-meme-moitie","","Moi-même-Moitié",""
"juliette-et-justine","","Juliette et Justine",""
"mary-magdalene","","Mary Magdalene",""
"putumayo","","Putumayo",""
"antique-beast","","Antique Beast",""
"atelier-pierrot","","Atelier Pierrot",""
"black-peace-now","","Black Peace Now",""
"beth","","Beth",""
"emily-shirley-temple-cute","","Emily Temple Cute",""
"indie-brand","","Indie Brand",""
"chinese-indie","","Chinese Indie Brand",""
"h-naoto","","h.NAOTO",""
"maxicimam","","MAXICIMAM",""
"cornet","","Cornet",""
"grimoire","","Grimoire",""
"heart-e","","Heart E",""
"6dokidoki","","6%DOKIDOKI",""
"physical-drop","","Physical Drop",""
"millefleurs","","Millefleurs",""
"pink-house","","Pink House",""
"vivienne-westwood","","Vivienne Westwood",""
"haenuli","","Haenuli",""
"surface-spell","","SurfaceSpell",""
"chantilly","","Enchantlic Enchantilly",""
"sheglit","","Sheglit",""
"milk","","MILK",""
"lief","","Lief",""
"chess-story","","Chess Story",""
"krad-lanrete","","Krad Lanrete",""
"offbrand","","Offbrand",""
"infanta","","Infanta",""
"triple-fortune","","Triple Fortune",""
"baby-secret-love","","Baby Secret Love",""
"mr","","MR",""
"shirley-temple","","Shirley Temple",""
"miho-matsuda","","Miho Matsuda",""
"leur-getter","","Leur Getter",""
"q-pot","","Q-pot",""
"peppermint-fox","","Peppermint Fox",""
"soufflesong","","Soufflesong",""
"axes-femme","","Axes Femme",""
"marble","","Marble",""
"the-black-ribbon","","The Black Ribbon",""
"wonderful-world","","Wonderful World",""
